4
(name1)	(name2)	(file)	(line)
GetLogColorSpace	GetLogColorSpaceW		1
GetLogicalDriveStrings	GetLogicalDriveStringsW		1
GetLongPathName	GetLongPathNameW		1
GetMappedFileName	GetMappedFileNameW		1
GetMenuItemInfo	GetMenuItemInfoW		1
GetMenuString	GetMenuStringW		1
GetMessage	GetMessageW		1
GetMetaFile	GetMetaFileW		1
GetModuleBaseName	GetModuleBaseNameW		1
GetModuleFileName	GetModuleFileNameW		1
GetModuleFileNameEx	GetModuleFileNameExW		1
GetModuleHandle	GetModuleHandleW		1
GetModuleHandleEx	GetModuleHandleExW		1
GetMonitorInfo	GetMonitorInfoW		1
GetNameByType	GetNameByTypeW		1
GetNamedPipeClientComputerName	GetNamedPipeClientComputerNameW		1
GetNamedPipeHandleState	GetNamedPipeHandleStateW		1
GetNumberFormat	GetNumberFormatW		1
GetObject	GetObjectW		1
GetOpenCardName	GetOpenCardNameW		1
GetOpenFileName	GetOpenFileNameW		1
GetOpenFileNamePreview	GetOpenFileNamePreviewW		1
GetOutlineTextMetrics	GetOutlineTextMetricsW		1
GetPrintProcessorDirectory	GetPrintProcessorDirectoryW		1
GetPrinter	GetPrinterW		1
GetPrinterData	GetPrinterDataW		1
GetPrinterDataEx	GetPrinterDataExW		1
GetPrinterDriver	GetPrinterDriverW		1
GetPrinterDriverDirectory	GetPrinterDriverDirectoryW		1
GetPrivateProfileInt	GetPrivateProfileIntW		1
GetPrivateProfileSection	GetPrivateProfileSectionW		1
GetPrivateProfileSectionNames	GetPrivateProfileSectionNamesW		1
GetPrivateProfileString	GetPrivateProfileStringW		1
GetPrivateProfileStruct	GetPrivateProfileStructW		1
GetProcessImageFileName	GetProcessImageFileNameW		1
GetProfileInt	GetProfileIntW		1
GetProfileSection	GetProfileSectionW		1
GetProfileString	GetProfileStringW		1
GetProfilesDirectory	GetProfilesDirectoryW		1
GetProp	GetPropW		1
GetRawInputDeviceInfo	GetRawInputDeviceInfoW		1
